reviews.text,label
"This product exceeded my expectations in every way. Highly recommended!",fake
"I found the device to be extremely useful and easy to use.",fake
"The build quality is outstanding and the battery lasts forever.",fake
"I would definitely purchase this item again for my family.",fake
"Customer service was prompt and resolved my issue instantly.",fake
"The features offered are unmatched at this price point.",fake
"Setup was a breeze and the instructions were very clear.",fake
"I have recommended this product to all my friends.",fake
"The packaging was beautiful and the delivery was fast.",fake
"Absolutely love it! Five stars from me.",fake 